nif,cod_postal,DOB,nome,sexo,peso,cod_modalidade,cod_clube,altura
10000000,1663-165,"1994-12-12 16:22:20","Alexandre Gomes",H,65,1,6,1.61
10000001,1813-312,"1984-07-12 08:30:27","Enzo Álvares",H,97,7,0,1.53
10000002,1645-741,"1980-07-19 09:15:36","Carlota Castro",M,53,3,3,1.69
10000003,1669-750,"1986-04-01 12:57:54","Tomás Vaz",H,81,4,4,1.38
10000004,1188-816,"1988-11-06 08:16:22","Vasco Marques",H,98,7,2,1.86
10000005,1175-836,"1993-06-12 12:56:47","Mateus Sousa",H,82,6,4,1.86
10000006,1472-570,"1983-10-11 15:17:19","Ariana Álvares",M,71,7,3,1.70
10000007,1478-97,"1999-09-21 15:46:59","Bianca Mendes",M,55,9,0,1.54
10000008,1502-125,"1986-09-02 09:32:51","Rodrigo Fernandes",H,71,4,4,1.63
10000009,1664-114,"1990-07-07 09:14:19","Lourenço Teixeira",H,58,2,0,1.30
10000010,1703-772,"1992-07-07 11:32:34","Bianca Nunes",M,69,8,1,1.37
10000011,1475-751,"1983-02-10 08:39:14","Rodrigo Albuquerque",H,89,6,1,1.48
10000012,1576-879,"1994-08-22 09:48:14","Beatriz Mendes",M,88,0,3,1.55
10000013,1124-439,"1982-11-17 10:50:14","Ema Vaz",M,50,5,3,1.41
10000014,1043-825,"1981-08-01 17:31:55","Nicole Ferreira",M,95,8,5,1.51
10000015,1635-591,"1988-09-19 10:34:02","Núria da Gama",M,89,6,0,1.55
10000016,1569-820,"1990-08-02 10:50:02","Diana Álvares",M,60,9,0,1.70
10000017,1393-403,"1988-03-20 16:51:01","Alexandre Bragança",H,62,2,2,1.47
10000018,1543-477,"1986-11-17 15:36:52","Diana Coimbra",M,91,9,5,1.70
10000019,1283-491,"1991-05-25 09:22:24","José Fernandes",H,80,8,4,1.66
10000020,1841-939,"1989-06-13 10:36:15","Afonso Braga",H,88,5,1,1.30
10000021,1217-614,"1987-04-22 14:13:23","André Albuquerque",H,64,6,1,1.65
10000022,1192-674,"1997-05-14 12:28:55","Luís Mendes",H,71,1,4,1.64
10000023,1115-673,"1983-09-01 15:58:34","Alice Jesus",M,55,7,0,1.77
10000024,1951-733,"1981-09-20 17:23:35","Gabriela Gomes",M,45,5,2,1.87
