0,Pedro Guimarães,Médico,Neurologia,2017-7-6 11:37:58
1,Laura Sampaio,Cirurgião,Anatomia Patológica,2018-3-11 14:53:22
2,Rodrigo de Caminha,Médico,Neurologia,2016-1-21 12:19:34
3,Vicente Marques,Enfermeiro,Cirurgia Geral,2016-4-8 17:47:44
4,Bianca Nunes,Enfermeiro,Cirurgia Pediátrica,2016-6-5 17:46:6
5,Vasco Fernandes,Enfermeiro estagiario,Urologia,2015-9-6 14:23:42
6,António Guimarães,Auxiliar,Pneumologia,2017-5-15 14:42:14
7,Camila Teixeira,Enfermeiro,Patologia Clínica,2017-1-8 16:12:42
8,Catarina Álvares,Auxiliar estagiario,Cirurgia Pediátrica,2016-6-21 8:40:51
9,Maria Rodrigues,Enfermeiro estagiario,Medicina Desportiva,2018-9-14 12:35:49
10,Mateus Correia,Enfermeiro estagiario,Oncologia Médica,2017-9-15 16:55:17
11,Henrique Costa,Médico,Farmacologia Clínica,2018-5-12 8:16:15
12,Benedita Álvares,Médico estagiario,Otorrinolaringologia,2018-8-22 15:59:0
13,Bruna Gomes,Médico estagiario,Pediatria,2017-3-15 14:47:3
14,Bernardo Braga,Enfermeiro,Urologia,2016-12-22 16:16:37
15,Matias Nunes,Médico,Genética Médica,2016-5-17 15:1:55
16,Martim Álvares,Auxiliar estagiario,Estomatologia,2016-2-19 16:4:4
17,Joana Fernandes,Auxiliar,Angiologia e Cirurgia Vascular,2016-5-8 9:21:1
18,Tiago Gomes,Enfermeiro,Gastrenterologia,2018-5-10 11:36:34
19,Yara Gomes,Médico,Cirurgia Maxilo-facial,2017-8-17 11:38:26
20,Ema da Gama,Auxiliar estagiario,Cirurgia Pediátrica,2015-5-16 8:42:50
21,Eva Albuquerque,Médico estagiario,Cardiologia,2017-6-20 15:32:50
22,Mateus Ferreira,Enfermeiro,Cirurgia Plástica e Reconstrutiva e Estética,2017-10-10 10:21:0
23,Yara Ribeiro,Médico,Cirurgia Maxilo-facial,2017-1-12 10:35:3
24,Íris Braga,Auxiliar,Radioterapia,2016-12-16 8:39:50
25,Vicente Alves,Enfermeiro,Radiodiagnóstico,2018-2-24 13:38:13
26,Madalena Carvalho,Médico estagiario,Cardiologia,2018-3-3 8:19:26
27,Joana Marques,Médico estagiario,Anestesiologia,2018-5-14 14:9:10
28,Leonardo Fernandes,Cirurgião,Psiquiatria,2016-11-21 10:6:39
29,Matias Bragança,Auxiliar estagiario,Medicina Desportiva,2018-9-27 10:2:38
30,Margarida Costa,Enfermeiro,Medicina do trabalho,2018-4-9 8:34:40
31,Gabriel Carvalho,Enfermeiro estagiario,Medicina Legal,2017-7-2 10:20:58
32,Mafalda Gonçalves,Cirurgião,Gastrenterologia,2016-12-12 15:13:17
33,Samuel Mendes,Enfermeiro estagiario,Otorrinolaringologia,2017-1-26 12:34:57
34,Rita Jesus,Médico estagiario,Pneumologia,2018-12-11 13:0:14
35,Constança Nunes,Cirurgião,Estomatologia,2018-10-16 14:5:14
36,Iara Guimarães,Médico,Otorrinolaringologia,2015-8-20 13:44:6
37,Alice Rodrigues,Enfermeiro estagiario,Reumatologia,2015-12-27 12:50:7
38,Maria Almeida,Cirurgião,Estomatologia,2018-2-25 8:55:40
39,Nicole Gomes,Médico estagiario,Oncologia Médica,2017-10-14 14:56:34
40,Simão Carvalho,Enfermeiro,Farmacologia Clínica,2017-12-3 14:50:21
41,Henrique Ferreira,Cirurgião,Dermato-venereologia,2018-10-10 12:20:21
42,Sara Albuquerque,Enfermeiro estagiario,Estomatologia,2018-6-1 8:41:5
43,Eva Sampaio,Cirurgião,Endocrinologia-Nutrição,2017-7-14 9:43:25
44,Gustavo Pereira,Enfermeiro,Radiodiagnóstico,2017-10-1 14:38:33
45,Alexandre Moreira,Cirurgião,Angiologia e Cirurgia Vascular,2015-5-17 15:23:39
46,Inês Martins,Auxiliar estagiario,Genética Médica,2017-4-27 14:38:30
47,Filipe Pereira,Auxiliar estagiario,Pediatria,2016-11-1 8:43:7
48,Dinis da Veiga,Médico estagiario,Pneumologia,2017-3-11 13:18:8
49,Lucas Bragança,Auxiliar,Dermato-venereologia,2016-3-17 16:35:35
50,Rúben Alves,Enfermeiro estagiario,Oftalmologia,2017-5-18 15:34:12
51,Bernardo Albuquerque,Médico,Imuno-alergologia,2018-10-23 13:56:6
52,Filipe Rodrigues,Médico,Pneumologia,2018-6-21 13:49:40
53,Inês Ferreira,Médico estagiario,Medicina Geral e Familiar,2018-5-18 12:7:22
54,José Carvalho,Cirurgião,Nefrologia,2016-7-27 10:50:14
55,Bruna Braga,Médico,Otorrinolaringologia,2018-4-19 10:23:58
56,Lucas Almeida,Enfermeiro,Anatomia Patológica,2017-11-3 14:35:36
57,Yara Santos,Auxiliar estagiario,Dermato-venereologia,2016-6-1 16:6:47
58,Pedro Moreira,Médico estagiario,Medicina Geral e Familiar,2017-3-19 9:45:54
59,Sofia Mendes,Auxiliar,Medicina Geral e Familiar,2018-11-12 10:30:33
